,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,FB.rbs_crank.x,FB.rbs_crank.y,FB.rbs_crank.z,FB.rbs_crank.e0,FB.rbs_crank.e1,FB.rbs_crank.e2,FB.rbs_crank.e3,FB.rbs_rocker.x,FB.rbs_rocker.y,FB.rbs_rocker.z,FB.rbs_rocker.e0,FB.rbs_rocker.e1,FB.rbs_rocker.e2,FB.rbs_rocker.e3,FB.rbs_coupler.x,FB.rbs_coupler.y,FB.rbs_coupler.z,FB.rbs_coupler.e0,FB.rbs_coupler.e1,FB.rbs_coupler.e2,FB.rbs_coupler.e3
123,3.0140046023168564e-22,2.4978222070260713e-22,1.5272949493349559e-21,1.0,-5.626422555851266e-25,1.884946314861845e-24,-1.3530505247999502e-24,6.174415187625532e-22,35.76536525347701,93.38543646054448,0.9833245698490181,-0.18185941015878843,1.5674187987697377e-24,-2.1402832688109e-25,-502.1234122563009,-850.0,354.7122909723341,0.994301362877043,-2.8157699862446563e-25,0.10660582695737358,-7.537349182655104e-25,-302.1234122563009,-389.234634746523,448.09772743287857,0.9943016459169771,0.033467915108208755,0.09712346245872876,0.028481091578686134
124,-8.343033394027219e-23,-6.80390314053979e-22,1.6125885848450353e-22,1.0,-4.474503220601065e-24,-4.215420420168195e-24,-2.1234851474293693e-24,-7.974970779483742e-22,26.341656181364613,96.4682296867964,0.9911312744364578,-0.13288681762333893,-3.95005285287637e-24,-2.5938404146234314e-24,-524.1870220482374,-850.0,347.6026219227487,0.9971584961200045,-3.5735731576326424e-24,0.07533213608285362,-1.2703843923960297e-24,-324.1870220482374,-398.6583438186354,444.0708516095451,0.9971894749879061,0.024265233426363192,0.06768657684537314,0.021044599441862724
125,-6.942187782872596e-22,1.092300098111187e-22,-2.4922817521345693e-21,1.0,1.6685568546265003e-24,-2.163685010781685e-24,2.3496683650360794e-25,-1.123683185948981e-21,16.658980618086403,98.60263969175476,0.9965005033587191,-0.083587416975392,-2.152683190941657e-24,2.599355949789186e-26,-544.5472113035976,-850.0,339.6411355123455,0.9989519822670726,2.2186557887167214e-25,0.0457703719816307,-2.360392559103522e-24,-344.5472113035976,-408.3410193819136,438.24377520410025,0.9989762158921267,0.015134299807760843,0.04049540408406111,0.01332610751334575
126,1.1251499331103292e-22,-2.1288040920062234e-22,7.834082680264603e-22,1.0,3.618840334507627e-24,2.138865947634035e-24,-4.0849835084790886e-25,4.386228549327234e-22,6.81253042552219,99.76768276305403,0.9994190518411086,-0.034082452265505436,1.6387712195347078e-24,2.1362135407844974e-25,-563.1840521376533,-850.0,331.0905659609854,0.999837861959526,1.9083082769369865e-24,0.018006707089395627,5.399954946259537e-25,-363.1840521376533,-418.1874695744778,430.85824872403936,0.9998437991790553,0.006115246398668096,0.015662106592212958,0.005447074066349142
127,1.9616005892384592e-22,1.1551480587287706e-22,8.95850036882632e-22,1.0,-2.03878081655141e-24,-1.2221900189031242e-24,2.4318896146470585e-25,1.1321964354897674e-22,-3.1008927672864024,99.95191623319089,0.9998797970416189,0.015506327742900488,-4.314043927150074e-25,1.0737698978980492e-24,-580.110009997404,-850.0,322.1961844795936,0.9999688255739859,-2.692196544629742e-24,-0.007895368941769442,-5.1476322128877154e-26,-380.1100099974039,-428.10089276728644,422.1481007127845,0.9999704228640599,-0.002755589126405249,-0.00673988358018725,-0.0024743077794873156
128,1.0068076223037548e-21,6.560805555176348e-23,1.0082918057388039e-21,1.0,1.5343626503646792e-24,-2.3129050234104323e-24,2.4339904418613087e-24,8.455452978397337e-22,-12.983831117198324,99.15352350855257,0.9978815785997841,0.06505697367125073,-1.0573275566968827e-24,3.823999081243833e-24,-595.3579403285165,-850.0,313.1856821885723,0.9994915853580775,-2.359607743233368e-24,-0.031883498932254395,5.860445146541272e-25,-395.3579403285166,-437.98383111719835,412.3392056971249,0.9995255796304262,-0.011444487084796132,-0.026665338883787193,-0.010323989728740421
129,-7.50325559050904e-22,8.29501415303778e-22,1.682014348253663e-21,1.0,3.495293508641953e-24,4.320771486222303e-25,-3.06828578208332e-25,-7.260920850660844e-22,-22.739125565427653,97.38035357894697,0.9934293106511247,0.114447627635045,1.9211366208304474e-25,-6.088782249408375e-25,-608.9709459213699,-850.0,304.27149003617905,0.9985460030235556,4.384192632962116e-24,-0.0539060734627414,2.140125171993451e-24,-408.97094592136995,-447.7391255654276,401.651843615126,0.9986669814460577,-0.01991958901005631,-0.04408762520420402,-0.017992648056639367
130,-5.727982941453558e-23,3.778744994625849e-22,1.1291010068092154e-21,1.0,8.625585457359261e-25,-3.114472679960532e-24,5.951915231032153e-25,-7.668884278513026e-22,-32.27087191896732,94.64983845855534,0.9865339424767963,0.16355682521144813,-3.6272087464905115e-24,1.8538069410190554e-25,-620.9939143537654,-850.0,295.65467245657544,0.9972654378255867,-1.159414790835276e-25,-0.073902842321132,4.44637324303431e-25,-420.9939143537654,-457.2708719189673,390.3045109151308,0.9975388649574676,-0.028150458345719716,-0.05898984388938847,-0.025376086744003174
131,1.2711541453030986e-21,3.778744994625849e-22,1.0166592379530436e-21,1.0,1.8080146410342103e-24,2.0885597947568783e-24,1.636396435600009e-24,1.873367322193221e-21,-41.48536368368482,90.9888218116567,0.977212431574792,0.21226379415185578,2.7186531027026406e-24,1.669448459022099e-24,-631.4663236875559,-850.0,287.5297137615918,0.9957778044525021,-2.5604392111280916e-25,-0.09179622487866611,1.8047567413932837e-24,-431.46632368755587,-466.48536368368485,378.51853557324847,0.9962711911195619,-0.03610774407162193,-0.07135651374322752,-0.032375530397618354
132,-6.522915364891869e-22,-7.533144494453531e-22,-5.525724701360033e-23,1.0,3.0331685774518548e-24,-5.2765206103325215e-24,-2.3693205489869873e-24,-1.645129095416715e-21,-50.29201329183795,86.43329505285914,0.9654877019570623,0.26044875139214907,-5.1558880943031525e-24,5.282799324041526e-26,-640.4158600967855,-850.0,280.08964533517997,0.9942069041595628,4.693524731019365e-24,-0.10748308771016257,-5.170879822835331e-25,-440.4158600967855,-475.292013291838,366.5229403880391,0.9949793465918373,-0.04376278506298207,-0.0811656142855992,-0.038897869553544774
