,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,PD.rbs_crank.x,PD.rbs_crank.y,PD.rbs_crank.z,PD.rbs_crank.e0,PD.rbs_crank.e1,PD.rbs_crank.e2,PD.rbs_crank.e3,time
171,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.713829336841314e-16,-18.199147587762294,249.33670215331693,-0.6808830331658456,-0.7323921730885278,6.789477938254334e-15,7.305664885679244e-15,0.8560700876095119
172,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.009261775669462e-16,-15.716416904281726,249.50549943162235,-0.6845196609344569,-0.7289943990332919,6.8595851889657355e-15,7.307899714224704e-15,0.8610763454317898
173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.312341860353896e-16,-13.253635831432966,249.64843516244497,-0.6881080790286117,-0.7256082081556107,6.929621819811104e-15,7.309975121514277e-15,0.8660826032540676
174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.6232318092184e-16,-10.81400717514735,249.7660050895632,-0.69164440701309,-0.7222381978584688,6.999613608581311e-15,7.312013097310696e-15,0.8710888610763454
175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.942158240574723e-16,-8.397809049353008,249.858913991814,-0.6951290398933883,-0.7188849826563983,7.069595370797334e-15,7.314058371178295e-15,0.8760951188986233
176,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.026938974783565e-15,-6.002883561799248,249.92792040912474,-0.6985658400601267,-0.715545782703969,7.139606059467604e-15,7.316087604679218e-15,0.8811013767209012
177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0605238634111286e-15,-3.6200491978997507,249.9737891387702,-0.7019685902015808,-0.7122079039302807,7.209690226145484e-15,7.317876444714373e-15,0.886107634543179
178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0949875984134866e-15,-1.268869302313377,249.99677990012125,-0.7053100462738351,-0.7088989621830071,7.279872082110603e-15,7.32002013402011e-15,0.8911138923654568
179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1303547500889096e-15,1.131684884397152,249.99743853956824,-0.7087054181695631,-0.7055045217468104,7.350184041181682e-15,7.320176555391975e-15,0.8961201501877347
180,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1666529105994136e-15,3.3985000166040513,249.976899197684,-0.7118967621107641,-0.7022841304170397,7.420658554142026e-15,7.323736145257796e-15,0.9011264080100125
181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2039089362412638e-15,5.68175986615133,249.9354268794947,-0.7150968603912099,-0.6990253788504978,7.491330083373357e-15,7.326332917254705e-15,0.9061326658322904
182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2421465285583854e-15,7.966214696179334,249.87304661735118,-0.7182843652740253,-0.6957496465055382,7.562229853767239e-15,7.328438839866956e-15,0.9111389236545683
183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2813666773265184e-15,10.25080836197628,249.78975346169702,-0.7214579798828297,-0.692458217721116,7.633359034436267e-15,7.33008029970308e-15,0.9161451814768461
184,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3216129880114878e-15,12.53837392046004,249.6853803892941,-0.7246217964168198,-0.6891467566204786,7.704771576679324e-15,7.33121967181893e-15,0.9211514392991239
185,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3629161337239841e-15,14.829341230039788,249.55979372958856,-0.7277765333361255,-0.6858143462745149,7.776505059099885e-15,7.331872245128427e-15,0.9261576971214017
186,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.405278828452476e-15,17.122240890415817,249.41296855213605,-0.7309202978501493,-0.6824628328715378,7.848562647869805e-15,7.332075564999894e-15,0.9311639549436797
187,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4487397735075193e-15,19.420415108882437,249.24455356762786,-0.7340577839852642,-0.6790870119470378,7.920990082177519e-15,7.33176472388885e-15,0.9361702127659575
188,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.493332930476658e-15,21.72563066029034,249.05420490027174,-0.7371914685697587,-0.6756839044200642,7.99382672871436e-15,7.330913272042273e-15,0.9411764705882353
189,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5390981483530801e-15,24.040852218107965,248.84139009936996,-0.7403254044269783,-0.6722486858059862,8.067117756317317e-15,7.32946279258673e-15,0.9461827284105132
190,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5860639809552757e-15,26.367204462549257,248.6056526581479,-0.7434611011572602,-0.6687791796139105,8.140895260182577e-15,7.327395303866863e-15,0.951188986232791
191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6342650830800943e-15,28.707126766559973,248.34633251534018,-0.746601803865419,-0.6652711826533266,8.215197576318538e-15,7.32465781510876e-15,0.9561952440550688
