,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,PD.rbs_crank.x,PD.rbs_crank.y,PD.rbs_crank.z,PD.rbs_crank.e0,PD.rbs_crank.e1,PD.rbs_crank.e2,PD.rbs_crank.e3
274,0.0,0.0,0.0,1.0,3.1901112842260207e-27,0.0,0.0,0.0,-249.89968636836375,7.081801809867626,-0.6970196676104558,0.7170520373552124,0.0,0.0
275,0.0,0.0,0.0,1.0,-1.8110415250467936e-24,0.0,0.0,0.0,-249.850148622562,-8.654963729818101,-0.7192426211753318,0.694759018074533,0.0,0.0
276,0.0,0.0,0.0,1.0,1.308846497888227e-24,0.0,0.0,0.0,-248.81061175088576,-24.357435087274048,-0.7407529215805185,0.6717776049266433,0.0,0.0
277,0.0,0.0,0.0,1.0,-7.290044416435912e-25,0.0,0.0,0.0,-246.7851947846822,-39.96339323640135,-0.7615292555958232,0.6481305687766334,0.0,0.0
278,0.0,0.0,0.0,1.0,1.6472012745155954e-24,0.0,0.0,0.0,-243.7819231785573,-55.41100157229411,-0.7815510372330872,0.6238413400143795,0.0,0.0
279,0.0,0.0,0.0,1.0,1.0975394584961885e-24,0.0,0.0,0.0,-239.8126970105427,-70.6390509308445,-0.8007984281435718,0.5989339853388149,0.0,0.0
280,0.0,0.0,0.0,1.0,-7.136471553582331e-25,0.0,0.0,0.0,-234.89324382956482,-85.58720212219478,-0.8192523572745556,0.5734331839117223,0.0,0.0
281,0.0,0.0,0.0,1.0,2.1315576987702517e-24,0.0,0.0,0.0,-229.04305633705204,-100.19622501702743,-0.8368945397656634,0.5473642029046744,0.0,0.0
282,0.0,0.0,0.0,1.0,-1.2310944839994695e-24,0.0,0.0,0.0,-222.28531514960892,-114.40823323834626,-0.8537074950662078,0.5207528724633516,0.0,0.0
283,0.0,0.0,0.0,1.0,-1.4330365837279199e-24,0.0,0.0,0.0,-214.64679694879965,-128.16691352881034,-0.8696745642555884,0.4936255601140437,0.0,0.0
284,0.0,0.0,0.0,1.0,1.1322879103627552e-24,0.0,0.0,0.0,-206.15776838198664,-141.41774888478437,-0.8847799265495888,0.46600914463769394,0.0,0.0
285,0.0,0.0,0.0,1.0,-9.183925840387162e-25,0.0,0.0,0.0,-196.8518661346271,-154.10823457296382,-0.8990086149762163,0.4379309894373726,0.0,0.0
286,0.0,0.0,0.0,1.0,-1.0487414705095379e-24,0.0,0.0,0.0,-186.76596364922705,-166.18808617363757,-0.9123465312055515,0.4094189154255682,0.0,0.0
287,0.0,0.0,0.0,1.0,5.178700001394543e-25,0.0,0.0,0.0,-175.94002501906039,-177.60943882624366,-0.9247804595189145,0.38050117345815926,0.0,0.0
288,0.0,0.0,0.0,1.0,8.076488236547871e-25,0.0,0.0,0.0,-164.416946635585,-188.32703688772892,-0.9362980799035024,0.3512064163423921,0.0,0.0
289,0.0,0.0,0.0,1.0,2.2290986088578855e-25,0.0,0.0,0.0,-152.24238721699422,-198.2984132522285,-0.9468879802595367,0.32156367044656387,0.0,0.0
290,0.0,0.0,0.0,1.0,1.1688914303651246e-24,0.0,0.0,0.0,-139.46458689141582,-207.48405762151347,-0.9565396677078034,0.2916023069395993,0.0,0.0
291,0.0,0.0,0.0,1.0,-1.1163925481915118e-24,0.0,0.0,0.0,-126.13417605160015,-215.8475730594735,-0.9652435789864001,0.26135201268897124,0.0,0.0
292,0.0,0.0,0.0,1.0,2.5849102902687564e-25,0.0,0.0,0.0,-112.30397473848436,-223.3558202103063,-0.972991089926388,0.2308427608457984,0.0,0.0
